time,rflux,flux,
1329.7803, 0.99996810, 0.99975417,
1329.7817, 1.0000897, 0.99987612,
1329.7830, 0.99991335, 0.99970003,
1329.7844, 1.0003902, 1.0001770,
1329.7858, 1.0001440, 0.99993113,
1329.7872, 0.99996606, 0.99975368,
1329.7886, 1.0003486, 1.0001364,
1329.7900, 1.0002018, 0.99998997,
1329.7914, 1.0002231, 1.0000115,
1329.7928, 1.0002624, 1.0000511,
1329.7942, 1.0003370, 1.0001259,
1329.7955, 1.0000766, 0.99986571,
1329.7969, 1.0003428, 1.0001322,
1329.7983, 1.0004586, 1.0002484,
1329.7997, 1.0003486, 1.0001386,
1329.8011, 1.0003148, 1.0001049,
1329.8025, 1.0003123, 1.0001030,
1329.8039, 1.0003034, 1.0000942,
1329.8053, 1.0003431, 1.0001343,
1329.8067, 1.0000949, 0.99988631,
1329.8080, 1.0002038, 0.99999544,
1329.8094, 1.0000885, 0.99988038,
1329.8108, 1.0002086, 1.0000008,
1329.8122, 1.0001860, 0.99997851,
1329.8136, 1.0002765, 1.0000692,
1329.8150, 1.0000281, 0.99982105,
1329.8164, 1.0003901, 1.0001834,
1329.8178, 1.0000301, 0.99982356,
1329.8192, 1.0003273, 1.0001209,
1329.8205, 1.0000080, 0.99980220,
1329.8219, 1.0005161, 1.0003102,
1329.8233, 1.0003085, 1.0001029,
1329.8247, 1.0002873, 1.0000820,
1329.8261, 1.0003467, 1.0001416,
1329.8275, 1.0003702, 1.0001652,
1329.8289, 1.0003164, 1.0001118,
1329.8303, 1.0001105, 0.99990621,
1329.8317, 0.99988295, 0.99967881,
1329.8330, 1.0002911, 1.0000871,
1329.8344, 1.0007897, 1.0005859,
1329.8358, 1.0003199, 1.0001165,
1329.8372, 1.0000921, 0.99988892,
1329.8386, 1.0001448, 0.99994183,
1329.8400, 1.0004678, 1.0002650,
1329.8414, 1.0000294, 0.99982690,
1329.8428, 1.0001352, 0.99993277,
1329.8442, 1.0001582, 0.99995619,
1329.8455, 1.0000688, 0.99986689,
1329.8469, 1.0002713, 1.0000696,
1329.8483, 1.0000902, 0.99988876,
1329.8497, 1.0002424, 1.0000410,
1329.8511, 1.0001841, 0.99998293,
1329.8525, 1.0002959, 1.0000952,
1329.8539, 1.0002475, 1.0000468,
1329.8553, 1.0001485, 0.99994800,
1329.8567, 1.0001609, 0.99996076,
1329.8580, 1.0002229, 1.0000229,
1329.8594, 1.0000604, 0.99986056,
1329.8608, 1.0002638, 1.0000643,
1329.8622, 1.0002041, 1.0000046,
1329.8636, 1.0001806, 0.99998137,
1329.8650, 1.0002922, 1.0000930,
1329.8664, 1.0003562, 1.0001574,
1329.8678, 1.0002518, 1.0000531,
1329.8692, 0.99999150, 0.99979306,
1329.8705, 1.0000663, 0.99986811,
1329.8719, 1.0001196, 0.99992142,
1329.8733, 1.0002205, 1.0000225,
1329.8747, 1.0001903, 0.99999257,
1329.8761, 1.0001581, 0.99996044,
1329.8775, 1.0001308, 0.99993332,
1329.8789, 1.0002329, 1.0000355,
1329.8803, 1.0003950, 1.0001979,
1329.8817, 1.0002388, 1.0000418,
1329.8830, 1.0001121, 0.99991533,
1329.8844, 1.0003301, 1.0001335,
1329.8858, 1.0002130, 1.0000164,
1329.8872, 1.0001972, 1.0000009,
1329.8886, 1.0003035, 1.0001074,
1329.8900, 0.99990274, 0.99970681,
1329.8914, 1.0002430, 1.0000472,
1329.8928, 1.0002441, 1.0000483,
1329.8942, 1.0002120, 1.0000163,
1329.8955, 1.0001493, 0.99995392,
1329.8969, 1.0000603, 0.99986515,
1329.8983, 0.99986482, 0.99966973,
1329.8997, 0.99999063, 0.99979589,
1329.9011, 1.0002409, 1.0000461,
1329.9025, 1.0001720, 0.99997730,
1329.9039, 1.0002483, 1.0000537,
1329.9053, 1.0003430, 1.0001487,
1329.9067, 1.0001808, 0.99998657,
1329.9080, 1.0000851, 0.99989105,
1329.9094, 0.99999700, 0.99980309,
1329.9108, 1.0001307, 0.99993692,
1329.9122, 1.0002747, 1.0000808,
1329.9136, 1.0000391, 0.99984550,
1329.9164, 1.0002179, 1.0000246,
1329.9178, 1.0001780, 0.99998473,
1329.9192, 0.99980439, 0.99961134,
1329.9205, 1.0004221, 1.0002291,
1329.9219, 1.0001605, 0.99996746,
1329.9233, 1.0003029, 1.0001100,
1329.9247, 1.0001546, 0.99996194,
1329.9261, 0.99999297, 0.99980037,
1329.9275, 1.0002502, 1.0000576,
1329.9289, 1.0001080, 0.99991556,
1329.9303, 0.99988843, 0.99969632,
1329.9317, 1.0003032, 1.0001111,
1329.9358, 0.99988397, 0.99969223,
1329.9372, 1.0003385, 1.0001467,
1329.9386, 1.0003178, 1.0001263,
1329.9400, 1.0000917, 0.99990028,
1329.9414, 1.0001567, 0.99996525,
1329.9428, 1.0002471, 1.0000558,
1329.9442, 1.0004066, 1.0002154,
1329.9455, 1.0001885, 0.99999733,
1329.9469, 1.0002210, 1.0000299,
1329.9483, 1.0004788, 1.0002878,
1329.9497, 1.0002427, 1.0000518,
1329.9511, 1.0001342, 0.99994331,
1329.9525, 1.0004075, 1.0002166,
1329.9539, 1.0003499, 1.0001591,
1329.9553, 1.0005307, 1.0003401,
1329.9567, 1.0002469, 1.0000564,
1329.9580, 1.0000858, 0.99989542,
1329.9594, 1.0003235, 1.0001331,
1329.9608, 1.0003582, 1.0001679,
1329.9622, 1.0002079, 1.0000175,
1329.9636, 1.0001900, 0.99999989,
1329.9650, 1.0002864, 1.0000962,
1329.9664, 1.0000735, 0.99988350,
1329.9678, 1.0001151, 0.99992511,
1329.9692, 1.0001476, 0.99995774,
